Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Nelson Aero,4241,G13222,-41.299,173.226,2,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Rain: Daily
Station,Date(UTC),Amount(mm),SofG,Deficit(mm),Runoff(mm),Period(Hrs),Freq
4241,19420822:2100,1.3,-,-,-,24,D
4241,19420823:2100,0.3,-,-,-,24,D
4241,19420824:2100,0.0,-,-,-,24,D
4241,19420825:2100,0.0,-,-,-,24,D
4241,19420826:2100,0.0,-,-,-,24,D
4241,19420827:2100,0.0,-,-,-,24,D
4241,19420828:2100,0.0,-,-,-,24,D
4241,19420829:2100,0.0,-,-,-,24,D
4241,19420830:2100,0.0,-,-,-,24,D
4241,19420831:2100,4.3,-,-,-,24,D
4241,19420901:2100,5.3,-,-,-,24,D
4241,19420902:2100,13.0,-,-,-,24,D
4241,19420903:2100,0.5,-,-,-,24,D
4241,19420904:2100,0.0,-,-,-,24,D
4241,19420905:2100,0.0,-,-,-,24,D
4241,19420906:2100,0.0,-,-,-,24,D
4241,19420907:2100,0.0,-,-,-,24,D
4241,19420908:2100,3.0,-,-,-,24,D
4241,19420909:2100,0.0,-,-,-,24,D
4241,19420910:2100,0.0,-,-,-,24,D
4241,19420911:2100,0.0,-,-,-,24,D
4241,19420912:2100,0.5,-,-,-,24,D
4241,19420913:2100,0.0,-,-,-,24,D
4241,19420914:2100,10.4,-,-,-,24,D
4241,19420915:2100,0.8,-,-,-,24,D
4241,19420916:2100,0.0,-,-,-,24,D
4241,19420917:2100,3.3,-,-,-,24,D
4241,19420918:2100,0.0,-,-,-,24,D
4241,19420919:2100,0.3,-,-,-,24,D
4241,19420920:2100,3.6,-,-,-,24,D
4241,19420921:2100,1.5,-,-,-,24,D
4241,19420922:2100,7.1,-,-,-,24,D
4241,19420923:2100,18.5,-,-,-,24,D
4241,19420924:2100,4.3,-,-,-,24,D
4241,19420925:2100,2.3,-,-,-,24,D
4241,19420926:2100,0.0,-,-,-,24,D
4241,19420927:2100,0.0,-,-,-,24,D
4241,19420928:2100,0.0,-,-,-,24,D
4241,19420929:2100,2.5,-,-,-,24,D
4241,19420930:2100,0.0,-,-,-,24,D
4241,19421001:2100,0.0,-,-,-,24,D
4241,19421002:2100,0.0,-,-,-,24,D
4241,19421003:2100,0.0,-,-,-,24,D
4241,19421004:2100,0.0,-,-,-,24,D
4241,19421005:2100,0.0,-,-,-,24,D
4241,19421006:2100,0.0,-,-,-,24,D
4241,19421007:2100,0.0,-,-,-,24,D
4241,19421008:2100,0.3,-,-,-,24,D
4241,19421009:2100,0.0,-,-,-,24,D
4241,19421010:2100,0.0,-,-,-,24,D
4241,19421011:2100,1.0,-,-,-,24,D
4241,19421012:2100,0.0,-,-,-,24,D
4241,19421013:2100,0.0,-,-,-,24,D
4241,19421014:2100,0.3,-,-,-,24,D
4241,19421015:2100,0.0,-,-,-,24,D
4241,19421016:2100,0.0,-,-,-,24,D
4241,19421017:2100,0.0,-,-,-,24,D
4241,19421018:2100,30.0,-,-,-,24,D
