TMAX       200839 19400101 20201231 missing_value=99999.9 LORD HOWE ISL. AERO                       
20141101 20141130    23.3
20141201 20141231    24.8
20150101 20150131    26.1
20150201 20150228    25.5
20150301 20150331    26.0
20150401 20150430    24.3
20150501 20150531    22.0
20150601 20150630    19.9
20150701 20150731    18.9
20150801 20150831    19.5
20150901 20150930    19.3
20151001 20151031    21.7
20151101 20151130    22.9
20151201 20151231    23.8
20160101 20160131    24.7
20160201 20160229    25.8
20160301 20160331    26.0
20160401 20160430    24.4
20160501 20160531    23.2
20160601 20160630    20.4
20160701 20160731    20.3
20160801 20160831    19.4
20160901 20160930    20.9
20161001 20161031    21.1
20161101 20161130    22.9
20161201 20161231    25.3
20170101 20170131    26.8
20170201 20170228    27.4
20170301 20170331    25.1
20170401 20170430    22.9
20170501 20170531    21.7
20170601 20170630    19.7
20170701 20170731    19.2
20170801 20170831    19.5
20170901 20170930    20.2
20171001 20171031    21.9
20171101 20171130    22.2
20171201 20171231    25.5
20180101 20180131    26.0
20180201 20180228    26.3
20180301 20180331    25.6
20180401 20180430    24.6
20180501 20180531    21.6
20180601 20180630    19.8
20180701 20180731    19.5
20180801 20180831    19.3
20180901 20180930    19.6
20181001 20181031    21.4
20181101 20181130    23.1
20181201 20181231    24.3
20190101 20190131    27.9
20190201 20190228    27.3
20190301 20190331    26.5
20190401 20190430    23.8
20190501 20190531    22.7
20190601 20190630    20.4
20190701 20190731    19.9
20190801 20190831    19.6
20190901 20190930    20.0
20191001 20191031    20.9
20191101 20191130    22.8
20191201 20191231    24.6
20200101 20200131    27.0
20200201 20200229    26.7
20200301 20200331    25.0
20200401 20200430    24.4
20200501 20200531    21.8
20200601 20200630    19.9
20200701 20200731    19.5
20200801 20200831    19.8
20200901 20200930    20.3
20201001 20201031    22.7
20201101 20201130    23.1
20201201 20201231    24.6
