TMAX       200283 19390101 20201231 missing_value=99999.9 WILLIS ISLAND                             
19850101 19850131    30.4
19850201 19850228    30.1
19850301 19850331    29.5
19850401 19850430    29.2
19850501 19850531    27.7
19850601 19850630    26.1
19850701 19850731    25.0
19850801 19850831    25.8
19850901 19850930    26.9
19851001 19851031    29.3
19851101 19851130    30.1
19851201 19851231    30.7
19860101 19860131    30.8
19860201 19860228    30.4
19860301 19860331    29.2
19860401 19860430    28.7
19860501 19860531    27.6
19860601 19860630    26.7
19860701 19860731    26.8
19860801 19860831    26.7
19860901 19860930    27.7
19861001 19861031    29.8
19861101 19861130    29.9
19861201 19861231    30.4
19870101 19870131    31.8
19870201 19870228    31.1
19870301 19870331    30.3
19870401 19870430    28.8
19870501 19870531    28.0
19870601 19870630    27.1
19870701 19870731    25.6
19870801 19870831    26.1
19870901 19870930    27.0
19871001 19871031    29.2
19871101 19871130    30.6
19871201 19871231    31.0
19880101 19880131    31.5
19880201 19880229    29.8
19880301 19880331    29.4
19880401 19880430    29.2
19880501 19880531    28.1
19880601 19880630    26.6
19880701 19880731    26.4
19880801 19880831    26.2
19880901 19880930    26.9
19881001 19881031    29.3
19881101 19881130    29.9
19881201 19881231    30.3
19890101 19890131    29.9
19890201 19890228    29.8
19890301 19890331    30.2
19890401 19890430    28.4
19890501 19890531    27.6
19890601 19890630    26.1
19890701 19890731    25.7
19890801 19890831    25.8
19890901 19890930    27.7
19891001 19891031    29.2
19891101 19891130    30.0
19891201 19891231    29.6
19900101 19900131    30.3
19900201 19900228    31.5
19900301 19900331    30.1
19900401 19900430    28.7
19900501 19900531    28.4
19900601 19900630    27.0
19900701 19900731    26.4
19900801 19900831    25.7
19900901 19900930    26.3
19901001 19901031    28.1
19901101 19901130    29.4
19901201 19901231    29.5
19910101 19910131    30.1
19910201 19910228    29.5
19910301 19910331    28.5
19910401 19910430    28.0
19910501 19910531    26.9
19910601 19910630    26.5
19910701 19910731    25.9
19910801 19910831    26.2
19910901 19910930    26.8
19911001 19911031    28.1
19911101 19911130    29.3
19911201 19911231    30.9
19920101 19920131    31.3
19920201 19920229    31.3
19920301 19920331    30.0
19920401 19920430    28.9
19920501 19920531    28.1
19920601 19920630    26.2
19920701 19920731    25.8
19920801 19920831    26.1
19920901 19920930    27.6
19921001 19921031    27.5
19921101 19921130    28.7
19921201 19921231    29.5
19930101 19930131    28.9
19930201 19930228    28.7
19930301 19930331    29.2
19930401 19930430    27.8
19930501 19930531    26.7
19930601 19930630    26.4
19930701 19930731    26.2
19930801 19930831    26.1
19930901 19930930    26.8
19931001 19931031    27.7
19931101 19931130    29.3
19931201 19931231    30.1
19940101 19940131    31.2
19940201 19940228    31.3
19940301 19940331    30.7
19940401 19940430    28.0
19940501 19940531    27.1
19940601 19940630    25.8
19940701 19940731    25.0
19940801 19940831    24.9
19940901 19940930    26.4
19941001 19941031    28.0
19941101 19941130    29.6
19941201 19941231    29.8
19950101 19950131    30.8
19950201 19950228    31.5
19950301 19950331    29.7
19950401 19950430    29.0
19950501 19950531    27.6
19950601 19950630    25.9
19950701 19950731    25.9
19950801 19950831    25.5
19950901 19950930    27.2
19951001 19951031    28.7
19951101 19951130    30.2
19951201 19951231    31.0
19960101 19960131    30.6
19960201 19960229    30.0
19960301 19960331    29.7
19960401 19960430    29.8
19960501 19960531    28.1
19960601 19960630    27.0
19960701 19960731    25.4
19960801 19960831    26.2
19960901 19960930    26.9
19961001 19961031    28.7
19961101 19961130    30.2
19961201 19961231    31.4
19970101 19970131    30.5
19970201 19970228    30.3
19970301 19970331    27.5
19970401 19970430    27.8
19970501 19970531    27.1
19970601 19970630    26.0
19970701 19970731    25.6
19970801 19970831    25.3
19970901 19970930    26.3
19971001 19971031    27.4
19971101 19971130    29.1
19971201 19971231    30.7
19980101 19980131    29.4
19980201 19980228    30.7
19980301 19980331    30.1
19980401 19980430    29.9
19980501 19980531    28.3
19980601 19980630    27.3
19980701 19980731    26.9
19980801 19980831    27.0
19980901 19980930    28.2
19981001 19981031    29.8
19981101 19981130    29.6
19981201 19981231    30.1
19990101 19990131    30.6
19990201 19990228    30.2
19990301 19990331    29.8
19990401 19990430    28.7
19990501 19990531    27.8
19990601 19990630    26.9
19990701 19990731    25.4
19990801 19990831    25.5
19990901 19990930    26.8
19991001 19991031    28.7
19991101 19991130    29.7
19991201 19991231    29.9
20000101 20000131    29.9
20000201 20000229    29.4
20000301 20000331    29.4
20000401 20000430    28.9
20000501 20000531    27.6
20000601 20000630    25.8
20000701 20000731    25.4
20000801 20000831    26.7
20000901 20000930    27.7
20001001 20001031    29.3
20001101 20001130    30.7
20001201 20001231    30.2
20010101 20010131    30.3
20010201 20010228    29.9
20010301 20010331    30.1
20010401 20010430    29.0
20010501 20010531    27.8
20010601 20010630    26.8
20010701 20010731    26.2
20010801 20010831    26.3
20010901 20010930    28.2
20011001 20011031    29.5
20011101 20011130    31.1
20011201 20011231    32.5
20020101 20020131    32.4
20020201 20020228    32.6
20020301 20020331    30.5
20020401 20020430    29.4
20020501 20020531    28.1
20020601 20020630    27.3
20020701 20020731    26.2
20020801 20020831    26.6
20020901 20020930    27.6
20021001 20021031    28.9
20021101 20021130    29.7
20021201 20021231    31.3
20030101 20030131    31.1
20030201 20030228    31.5
20030301 20030331    30.7
20030401 20030430    29.6
20030501 20030531    28.1
20030601 20030630    27.0
20030701 20030731    26.2
20030801 20030831    26.2
20030901 20030930    27.2
20031001 20031031    29.0
20031101 20031130    29.5
20031201 20031231    31.3
20040101 20040131    32.2
20040201 20040229    32.0
20040301 20040331    29.8
20040401 20040430    28.3
20040501 20040531    27.8
20040601 20040630    26.0
20040701 20040731    26.1
20040801 20040831    26.0
20040901 20040930    27.6
20041001 20041031    27.9
20041101 20041130 99999.9
20041201 20041231 99999.9
20050101 20050131 99999.9
20050201 20050228 99999.9
20050301 20050331 99999.9
20050401 20050430 99999.9
20050501 20050531 99999.9
20050601 20050630 99999.9
20050701 20050731 99999.9
20050801 20050831 99999.9
20050901 20050930 99999.9
20051001 20051031 99999.9
20051101 20051130 99999.9
20051201 20051231 99999.9
20060101 20060131 99999.9
20060201 20060228 99999.9
20060301 20060331 99999.9
20060401 20060430 99999.9
20060501 20060531 99999.9
20060601 20060630 99999.9
20060701 20060731 99999.9
20060801 20060831 99999.9
20060901 20060930 99999.9
20061001 20061031 99999.9
20061101 20061130 99999.9
20061201 20061231 99999.9
20070101 20070131    30.4
20070201 20070228    29.6
20070301 20070331    29.7
20070401 20070430    28.4
20070501 20070531    28.5
20070601 20070630    26.4
20070701 20070731    25.6
20070801 20070831    26.2
20070901 20070930    26.9
20071001 20071031    28.6
20071101 20071130    29.0
20071201 20071231    30.4
20080101 20080131    30.3
20080201 20080229    30.2
20080301 20080331    29.1
20080401 20080430    28.7
20080501 20080531    27.1
20080601 20080630    26.7
20080701 20080731    26.1
20080801 20080831    26.3
20080901 20080930    27.8
20081001 20081031    28.3
20081101 20081130    30.5
20081201 20081231    31.9
20090101 20090131    31.2
20090201 20090228    30.7
20090301 20090331    29.9
20090401 20090430    28.9
20090501 20090531    27.5
20090601 20090630    27.3
20090701 20090731    26.5
20090801 20090831    27.3
20090901 20090930    28.3
20091001 20091031    28.5
20091101 20091130    29.6
20091201 20091231    30.5
20100101 20100131    30.5
20100201 20100228    30.9
20100301 20100331    30.5
20100401 20100430    29.6
20100501 20100531    28.4
20100601 20100630    27.9
20100701 20100731    27.6
20100801 20100831    27.6
20100901 20100930    28.9
20101001 20101031    29.8
20101101 20101130    29.7
20101201 20101231    31.0
20110101 20110131    30.2
20110201 20110228    30.3
20110301 20110331    30.6
20110401 20110430    29.2
20110501 20110531    27.2
20110601 20110630    25.9
20110701 20110731    25.8
20110801 20110831    26.4
20110901 20110930    26.7
20111001 20111031    28.9
20111101 20111130    29.8
20111201 20111231    31.3
20120101 20120131    31.3
20120201 20120229    30.7
20120301 20120331    30.1
20120401 20120430    29.1
20120501 20120531    27.8
20120601 20120630    26.4
20120701 20120731    26.3
20120801 20120831    26.1
20120901 20120930    27.2
20121001 20121031    28.2
20121101 20121130    29.3
20121201 20121231    30.5
20130101 20130131    30.9
20130201 20130228    30.9
20130301 20130331    29.5
20130401 20130430    28.9
20130501 20130531    27.7
20130601 20130630    26.7
20130701 20130731    26.1
20130801 20130831    26.6
20130901 20130930    27.6
20131001 20131031    29.0
20131101 20131130    29.8
20131201 20131231    30.2
20140101 20140131    30.7
20140201 20140228    30.6
20140301 20140331    29.6
20140401 20140430    29.1
20140501 20140531    28.0
20140601 20140630    27.0
20140701 20140731    25.8
20140801 20140831    25.9
20140901 20140930    26.9
20141001 20141031    28.0
20141101 20141130    29.8
20141201 20141231    31.2
20150101 20150131    31.0
20150201 20150228    30.6
20150301 20150331    30.0
20150401 20150430    29.1
20150501 20150531    28.1
20150601 20150630    27.3
20150701 20150731    26.4
20150801 20150831    26.5
20150901 20150930    27.5
20151001 20151031    28.0
20151101 20151130    30.0
20151201 20151231    30.8
20160101 20160131    31.8
20160201 20160229    32.3
20160301 20160331    31.5
20160401 20160430    29.9
20160501 20160531    29.3
20160601 20160630    27.9
20160701 20160731    27.4
20160801 20160831    26.4
20160901 20160930    28.2
20161001 20161031    29.3
20161101 20161130    30.5
20161201 20161231    31.3
20170101 20170131    31.8
20170201 20170228    31.5
20170301 20170331    30.3
20170401 20170430    29.5
20170501 20170531    28.6
20170601 20170630    27.1
20170701 20170731    27.1
20170801 20170831    27.1
20170901 20170930    27.5
20171001 20171031    29.3
20171101 20171130    30.1
20171201 20171231    31.5
20180101 20180131    31.5
20180201 20180228    30.8
20180301 20180331    30.5
20180401 20180430    28.9
20180501 20180531    27.9
20180601 20180630    26.6
20180701 20180731    26.7
20180801 20180831    27.1
20180901 20180930    27.5
20181001 20181031    29.1
20181101 20181130    30.7
20181201 20181231    31.3
20190101 20190131    29.8
20190201 20190228    30.2
20190301 20190331    30.2
20190401 20190430    29.6
20190501 20190531    28.0
20190601 20190630    26.8
20190701 20190731    26.6
20190801 20190831    27.1
20190901 20190930    27.4
20191001 20191031    28.5
20191101 20191130    30.0
20191201 20191231    31.1
20200101 20200131    31.9
20200201 20200229    32.8
20200301 20200331    31.2
20200401 20200430    30.1
20200501 20200531    28.0
20200601 20200630    27.5
20200701 20200731    26.7
20200801 20200831    27.2
20200901 20200930    27.9
20201001 20201031    29.1
20201101 20201130    30.2
20201201 20201231    31.3
